AYEAR,UNIV_PROVINCE_NAME,U_G,UNIV_TYPE_NAME,UNIV_NAME_TH,FAC_NAME,PROGRAM_NAME,LEV_NAME_TH,GENDER_NAME,AMOUNT
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,มหาวิทยาลัยนวมินทราธิราช,คณะแพทยศาสตร์วชิรพยาบาล,การป้องกันควบคุมโรคเขตเมือง,ปริญญาโท,ชาย,6
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,มหาวิทยาลัยนวมินทราธิราช,คณะแพทยศาสตร์วชิรพยาบาล,การป้องกันควบคุมโรคเขตเมือง,ปริญญาโท,หญิง,6
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,มหาวิทยาลัยนวมินทราธิราช,คณะแพทยศาสตร์วชิรพยาบาล,ปฏิบัติการฉุกเฉินการแพทย์,ปริญญาตรี,ชาย,5
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,มหาวิทยาลัยนวมินทราธิราช,คณะแพทยศาสตร์วชิรพยาบาล,ปฏิบัติการฉุกเฉินการแพทย์,ปริญญาตรี,หญิง,21
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,มหาวิทยาลัยนวมินทราธิราช,คณะแพทยศาสตร์วชิรพยาบาล,รังสีเทคนิค,ปริญญาตรี,ชาย,8
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,มหาวิทยาลัยนวมินทราธิราช,คณะแพทยศาสตร์วชิรพยาบาล,รังสีเทคนิค,ปริญญาตรี,หญิง,29
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,มหาวิทยาลัยนวมินทราธิราช,คณะแพทยศาสตร์วชิรพยาบาล,แพทยศาสตร์,ปริญญาตรี,ชาย,43
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,มหาวิทยาลัยนวมินทราธิราช,คณะแพทยศาสตร์วชิรพยาบาล,แพทยศาสตร์,ปริญญาตรี,หญิง,51
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,มหาวิทยาลัยนวมินทราธิราช,วิทยาลัยชุมชนเมืองแห่งกรุงเทพมหานคร,การจัดการทรัพยากรอาคาร,ปริญญาตรี,หญิง,2
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,มหาวิทยาลัยนวมินทราธิราช,วิทยาลัยชุมชนเมืองแห่งกรุงเทพมหานคร,การพัฒนาเด็กปฐมวัย,ปริญญาตรี,หญิง,8
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,มหาวิทยาลัยนวมินทราธิราช,วิทยาลัยชุมชนเมืองแห่งกรุงเทพมหานคร,เทคโนโลยี,ปริญญาตรี,ชาย,22
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,มหาวิทยาลัยนวมินทราธิราช,วิทยาลัยชุมชนเมืองแห่งกรุงเทพมหานคร,เทคโนโลยี,ปริญญาตรี,หญิง,1
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,มหาวิทยาลัยนวมินทราธิราช,วิทยาลัยพัฒนามหานคร,การบริการธุรกิจการบิน,ปริญญาตรี,หญิง,9
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,มหาวิทยาลัยนวมินทราธิราช,วิทยาลัยพัฒนามหานคร,การบริหารและจัดการเมือง,ปริญญาตรี,ชาย,1
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,มหาวิทยาลัยนวมินทราธิราช,วิทยาลัยพัฒนามหานคร,การบริหารและจัดการเมือง,ปริญญาตรี,หญิง,13
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,มหาวิทยาลัยนวมินทราธิราช,วิทยาลัยพัฒนามหานคร,การพัฒนาและจัดการเมือง,ปริญญาโท,หญิง,2
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,ราชวิทยาลัยจุฬาภรณ์,คณะพยาบาลศาสตร์,พยาบาลศาสตร์,ปริญญาตรี,ชาย,18
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,ราชวิทยาลัยจุฬาภรณ์,คณะพยาบาลศาสตร์,พยาบาลศาสตร์,ปริญญาตรี,หญิง,94
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,ราชวิทยาลัยจุฬาภรณ์,คณะพยาบาลศาสตร์อัครราชกุมารี,พยาบาลศาสตร์,ปริญญาตรี,ชาย,2
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,ราชวิทยาลัยจุฬาภรณ์,คณะพยาบาลศาสตร์อัครราชกุมารี,พยาบาลศาสตร์,ปริญญาตรี,หญิง,60
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,ราชวิทยาลัยจุฬาภรณ์,คณะเทคโนโลยีวิทยาศาสตร์สุขภาพ,ฉุกเฉินการแพทย์,ปริญญาตรี,ชาย,17
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,ราชวิทยาลัยจุฬาภรณ์,คณะเทคโนโลยีวิทยาศาสตร์สุขภาพ,ฉุกเฉินการแพทย์,ปริญญาตรี,หญิง,12
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,ราชวิทยาลัยจุฬาภรณ์,คณะเทคโนโลยีวิทยาศาสตร์สุขภาพ,รังสีเทคนิค,ปริญญาตรี,ชาย,11
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,ราชวิทยาลัยจุฬาภรณ์,คณะเทคโนโลยีวิทยาศาสตร์สุขภาพ,รังสีเทคนิค,ปริญญาตรี,หญิง,55
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,ราชวิทยาลัยจุฬาภรณ์,คณะเทคโนโลยีวิทยาศาสตร์สุขภาพ,วิทยาศาสตร์การเคลื่อนไหวและสุขภาพ,ปริญญาตรี,ชาย,9
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,ราชวิทยาลัยจุฬาภรณ์,คณะเทคโนโลยีวิทยาศาสตร์สุขภาพ,วิทยาศาสตร์การเคลื่อนไหวและสุขภาพ,ปริญญาตรี,หญิง,17
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,ราชวิทยาลัยจุฬาภรณ์,คณะเทคโนโลยีวิทยาศาสตร์สุขภาพ,สัทภาพการแพทย์,ปริญญาโท,หญิง,1
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,ราชวิทยาลัยจุฬาภรณ์,คณะแพทยศาสตร์ศรีสวางควัฒน,ฟิสิกส์การแพทย์,ปริญญาโท,ชาย,2
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,ราชวิทยาลัยจุฬาภรณ์,คณะแพทยศาสตร์ศรีสวางควัฒน,ฟิสิกส์การแพทย์,ปริญญาโท,หญิง,4
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,ราชวิทยาลัยจุฬาภรณ์,คณะแพทยศาสตร์ศรีสวางควัฒน,วิทยาศาสตร์ข้อมูลสุขภาพ,ปริญญาตรี,ชาย,7
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,ราชวิทยาลัยจุฬาภรณ์,คณะแพทยศาสตร์ศรีสวางควัฒน,วิทยาศาสตร์ข้อมูลสุขภาพ,ปริญญาตรี,หญิง,26
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,ราชวิทยาลัยจุฬาภรณ์,คณะแพทยศาสตร์ศรีสวางควัฒน,สุขภาพดิจิทัล,ปริญญาโท,หญิง,4
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,วิทยาลัยพยาบาลกองทัพเรือ,Institute of Nursing,พยาบาลศาสตร์,ปริญญาตรี,หญิง,60
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,วิทยาลัยพยาบาลตำรวจ,คณะพยาบาลศาสตร์,พยาบาลศาสตร์,ปริญญาตรี,ชาย,8
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,วิทยาลัยพยาบาลตำรวจ,คณะพยาบาลศาสตร์,พยาบาลศาสตร์,ปริญญาตรี,หญิง,61
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,วิทยาลัยพยาบาลทหารอากาศ,คณะพยาบาลศาสตร์,พยาบาลศาสตร์,ปริญญาตรี,ชาย,30
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,วิทยาลัยพยาบาลทหารอากาศ,คณะพยาบาลศาสตร์,พยาบาลศาสตร์,ปริญญาตรี,หญิง,54
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,วิทยาลัยพยาบาลบรมราชชนนี กรุงเทพ,คณะพยาบาลศาสตร์,พยาบาลศาสตร์,ปริญญาตรี,ชาย,6
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,วิทยาลัยพยาบาลบรมราชชนนี กรุงเทพ,คณะพยาบาลศาสตร์,พยาบาลศาสตร์,ปริญญาตรี,หญิง,141
