CURR_ID,CURR_NAME,CURR_NAME_EN,UNIV_NAME_TH,LEV_NAME_TH,COST_PER_YEAR
25510101109918,หลักสูตรประกาศนียบัตรบัณฑิตชั้นสูงทางวิทยาศาสตร์การแพทย์คลินิก สาขาวิชาศัลยศาสตร์ช่องปากและแม็กซิลโลเฟเชียล,Higher Graduate Diploma Program in Clinical Science in Oral and Maxillofacial Surgery,มหาวิทยาลัยสงขลานครินทร์,ประกาศนียบัตรบัณฑิตชั้นสูง,161773
25480101109498,หลักสูตรปรัชญาดุษฎีบัณฑิต สาขาวิชาวิทยาศาสตร์สุขภาพช่องปาก,Doctor of  Philosophy  Program in Oral  Health  Sciences,มหาวิทยาลัยสงขลานครินทร์,ปริญญาเอก,147236
25500101111379,หลักสูตรพยาบาลศาสตรมหาบัณฑิต สาขาวิชาการพยาบาลเวชปฏิบัติชุมชน,Master of Nursing Science Program in Community Nurse Practitioner,มหาวิทยาลัยสงขลานครินทร์,ปริญญาโท,227900
25501651100638,หลักสูตรพยาบาลศาสตรบัณฑิต,Bachelor of Nursing Science Program,มหาวิทยาลัยสวนดุสิต,ปริญญาตรี,128848
25600106000722,หลักสูตรพยาบาลศาสตรมหาบัณฑิต  สาขาวิชาการผดุงครรภ์,Master of Nursing Science Program in Midwifery,มหาวิทยาลัยสงขลานครินทร์,ปริญญาโท,331800
25600106000711,หลักสูตรพยาบาลศาสตรมหาบัณฑิต สาขาวิชาการพยาบาลจิตเวชและสุขภาพจิต,Master of Nursing Science Program in Psychiatric and Mental Health Nursing,มหาวิทยาลัยสงขลานครินทร์,ปริญญาโท,331800
25510101109953,หลักสูตรพยาบาลศาสตรมหาบัณฑิต สาขาวิชาการบริหารทางการพยาบาล,Master of Nursing Science Program in Nursing Administration,มหาวิทยาลัยสงขลานครินทร์,ปริญญาโท,189500
25540731101215,หลักสูตรพยาบาลศาสตรบัณฑิต,Bachelor of Nursing Science Program,มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ,ปริญญาตรี,46232
25450101102486,หลักสูตรพยาบาลศาสตรมหาบัณฑิต สาขาวิชาการพยาบาลผู้ใหญ่และผู้สูงอายุ (หลักสูตรนานาชาติ),Master of Nursing Science Program in Adult and Gerontological Nursing (International Program),มหาวิทยาลัยสงขลานครินทร์,ปริญญาโท,374700
25490031100277,หลักสูตรพยาบาลศาสตรมหาบัณฑิต  (หลักสูตรนานาชาติ),Master of Nursing Science Program (International Program),มหาวิทยาลัยขอนแก่น,ปริญญาโท,71875
25420201101066,หลักสูตรพยาบาลศาสตรมหาบัณฑิต สาขาวิชาการบริหารทางการพยาบาล,Master of Nursing Science Program in Nursing Administration,มหาวิทยาลัยนเรศวร,ปริญญาโท,64500
25520201109224,พยาบาลศาสตรมหาบัณฑิต สาขาวิชาการพยาบาลเวชปฏิบัติชุมชน,Master of Nursing Science Program in Community Nurse Practitioner,มหาวิทยาลัยนเรศวร,ปริญญาโท,64500
25460031100173,หลักสูตรพยาบาลศาสตรบัณฑิต,Bachelor of Nursing Science Program,มหาวิทยาลัยขอนแก่น,ปริญญาตรี,110000
25610221100028,หลักสูตรพยาบาลศาสตรบัณฑิต,Bachelor of Nursing Science Program,มหาวิทยาลัยทักษิณ,ปริญญาตรี,592201
25501141102296,หลักสูตรพยาบาลศาสตรบัณฑิต,Bachelor of Nursing Science Program,วิทยาลัยนานาชาติเซนต์เทเรซา,ปริญญาตรี,152574
25551581101615,หลักสูตรพยาบาลศาสตรบัณฑิต สาขาวิชาพยาบาลศาสตร์,Bachelor of Nursing Science Program in Nursing Science,มหาวิทยาลัยราชภัฏร้อยเอ็ด,ปริญญาตรี,101244
25651484000796,หลักสูตรพยาบาลศาสตรบัณฑิต,Bachelor of Nursing Science Program,มหาวิทยาลัยราชภัฏนครราชสีมา,ปริญญาตรี,140000
T20212128104591,หลักสูตรพยาบาลศาสตรบัณฑิต (สำหรับผู้สำเร็จปริญญาตรีสาขาอื่น),Bachelor of Nursing Science Program,ราชวิทยาลัยจุฬาภรณ์,ปริญญาตรี,150000
25470191104277,หลักสูตรพยาบาลศาสตรมหาบัณฑิต (หลักสูตรนานาชาติ),Master of Nursing Science Program (International Program),มหาวิทยาลัยบูรพา,ปริญญาโท,160925
25501141102296,หลักสูตรพยาบาลศาสตรบัณฑิต,Bachelor of Nursing Science Program,วิทยาลัยนานาชาติเซนต์เทเรซา,ปริญญาตรี,152574
25540141104955,หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาวิทยาศาสตร์เกษตรและเทคโนโลยี (วิทยาการหลังการเก็บเกี่ยว) (หลักสูตรนานาชาติ),Master of Science Program in AgriScience and Technology (Postharvest) (International Program),มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,ปริญญาโท,120000
25490141111349,หลักสูตรปรัชญาดุษฎีบัณฑิต สาขาวิชาเทคโนโลยีชีวภาพ (หลักสูตรนานาชาติ),Doctor of Philosophy Program in Biotechnology (International Program),มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,ปริญญาเอก,244000
25490141111261,หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาเทคโนโลยีชีวภาพ (หลักสูตรนานาชาติ),Master of Science Program in Biotechnology (International Program),มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,ปริญญาโท,108000
25540731101215,หลักสูตรพยาบาลศาสตรบัณฑิต,Bachelor of Nursing Science Program,มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ,ปริญญาตรี,46232
25521801108401,หลักสูตรปรัชญาดุษฎีบัณฑิต สาขาวิชานโยบายสาธารณะและการจัดการ,Doctor of Philosophy Program in Public Policy and Management,มหาวิทยาลัยเกษมบัณฑิต,ปริญญาเอก,166533
25481801103636,หลักสูตรศิลปศาสตรมหาบัณฑิต สาขาวิชาจิตวิทยาเพื่อการพัฒนาศักยภาพมนุษย์,Master of Arts Program in Psychology for Developing Human Potentials,มหาวิทยาลัยเกษมบัณฑิต,ปริญญาโท,127640
25510101104979,หลักสูตรแพทยศาสตรบัณฑิต,Doctor of Medicine Program,มหาวิทยาลัยสงขลานครินทร์,ปริญญาตรี,1202702
25510101104979,หลักสูตรแพทยศาสตรบัณฑิต,Doctor of Medicine Program,มหาวิทยาลัยสงขลานครินทร์,ปริญญาตรี,2590962
25580101102997,หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาวิทยาศาสตร์สุขภาพและการวิจัยทางคลินิก,Master of Science Program in Health Sciences and Clinical Research,มหาวิทยาลัยสงขลานครินทร์,ปริญญาโท,183112
25570101102737,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชารังสีเทคนิค,Bachelor of Science Program in Radiological Technology,มหาวิทยาลัยสงขลานครินทร์,ปริญญาตรี,114108
25540101104782,หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาระบาดวิทยา (หลักสูตรนานาชาติ),Master of  Science Program in Epidemiology (International Program),มหาวิทยาลัยสงขลานครินทร์,ปริญญาโท,85000
25580101103008,หลักสูตรปรัชญาดุษฎีบัณฑิต สาขาวิชาวิทยาศาสตร์สุขภาพและการวิจัยทางคลินิก,Doctor of Philosophy Program in Health Sciences and Clinical Research,มหาวิทยาลัยสงขลานครินทร์,ปริญญาเอก,183112
25650104000128,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาปฏิบัติการฉุกเฉินการแพทย์,Bachelor of Science Program in Emergency Medical Operation,มหาวิทยาลัยสงขลานครินทร์,ปริญญาตรี,1019276
25400141101326,หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาเทคโนโลยีชีวเคมี  (หลักสูตรนานาชาติ),Master of Science Program in Biochemical Technology (International Program),มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,ปริญญาโท,200038
25530141104976,หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมซอฟต์แวร์เพื่อวิทยาการข้อมูล,Master of Science Program in Software Engineering for  Data Science,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,ปริญญาโท,84936
25540141104966,หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาวิทยาการคอมพิวเตอร์,Master of Science Program in Computer Science,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,ปริญญาโท,395849
25490211107196,หลักสูตรพยาบาลศาสตรบัณฑิต,Bachelor of Nursing Science Program,มหาวิทยาลัยมหาสารคาม,ปริญญาตรี,57500
25390051100043,หลักสูตรพยาบาลศาสตรบัณฑิต,Bachelor of Nursing Science Program,มหาวิทยาลัยธรรมศาสตร์,ปริญญาตรี,238890
25551621100506,หลักสูตรครุศาสตรบัณฑิต สาขาวิชาการประถมศึกษา (4 ปี),Bachelor of Education Program in Elementary Education,มหาวิทยาลัยราชภัฏเลย,ปริญญาตรี,17000
25501621101197,หลักสูตรครุศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ทั่วไป (4 ปี),Bachelor of Education Program in General Science,มหาวิทยาลัยราชภัฏเลย,ปริญญาตรี,11750
25451531101506,หลักสูตรครุศาสตรมหาบัณฑิต สาขาวิชาหลักสูตรและการสอน,Master of Education Program in Curriculum and Instruction,มหาวิทยาลัยราชภัฏวไลยอลงกรณ์ ในพระบรมราชูปถัมภ์,ปริญญาโท,57253
25451531101506,หลักสูตรครุศาสตรมหาบัณฑิต สาขาวิชาหลักสูตรและการสอน,Master of Education Program in Curriculum and Instruction,มหาวิทยาลัยราชภัฏวไลยอลงกรณ์ ในพระบรมราชูปถัมภ์,ปริญญาโท,57253
25591611100724,หลักสูตรครุศาสตรบัณฑิต สาขาวิชาจิตวิทยาการศึกษาและการแนะแนว (4 ปี),Bachelor of Education Program in Educational Psychology and Guidance,มหาวิทยาลัยราชภัฏลำปาง,ปริญญาตรี,15000
25491611100633,หลักสูตรครุศาสตรบัณฑิต สาขาวิชาคอมพิวเตอร์ (4 ปี),Bachelor of Education Program in Computer,มหาวิทยาลัยราชภัฏลำปาง,ปริญญาตรี,45885
25491611100609,หลักสูตรครุศาสตรบัณฑิต สาขาวิชาภาษาอังกฤษ (4 ปี),Bachelor of Education Program in English,มหาวิทยาลัยราชภัฏลำปาง,ปริญญาตรี,33978
25551621100506,หลักสูตรครุศาสตรบัณฑิต สาขาวิชาการประถมศึกษา (4 ปี),Bachelor of Education Program in Elementary Education,มหาวิทยาลัยราชภัฏเลย,ปริญญาตรี,17000
25491531104504,หลักสูตรปรัชญาดุษฎีบัณฑิต สาขาวิชาหลักสูตรและการสอน,Doctor of Philosophy Program in Curriculum and Instruction,มหาวิทยาลัยราชภัฏวไลยอลงกรณ์ ในพระบรมราชูปถัมภ์,ปริญญาเอก,105567
25451531101506,หลักสูตรครุศาสตรมหาบัณฑิต สาขาวิชาหลักสูตรและการสอน,Master of Education Program in Curriculum and Instruction,มหาวิทยาลัยราชภัฏวไลยอลงกรณ์ ในพระบรมราชูปถัมภ์,ปริญญาโท,572563
25561991104187,หลักสูตรวิศวกรรมศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมโยธา     มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,,มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,ปริญญาโท,
25631541100029,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาจีน,Bachelor of Arts Program in Chinese,มหาวิทยาลัยราชภัฏเพชรบูรณ์,ปริญญาตรี,52603
25491391105015,หลักสูตรครุศาสตรบัณฑิต สาขาวิชาสังคมศึกษา  (4 ปี),Bachelor of Education Program in Social Studies,มหาวิทยาลัยราชภัฏกาญจนบุรี,ปริญญาตรี,17200
25501391105387,หลักสูตรครุศาสตรบัณฑิต สาขาวิชาคณิตศาสตร์ (4 ปี),Bachelor of Education Program in Mathematics,มหาวิทยาลัยราชภัฏกาญจนบุรี,ปริญญาตรี,17200
25501391105376,หลักสูตรครุศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ทั่วไป (4 ปี),Bachelor of Education Program in General Scinece,มหาวิทยาลัยราชภัฏกาญจนบุรี,ปริญญาตรี,19600
25501391105376,หลักสูตรครุศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ทั่วไป (4 ปี),Bachelor of Education Program in General Scinece,มหาวิทยาลัยราชภัฏกาญจนบุรี,ปริญญาตรี,19600
25501391105387,หลักสูตรครุศาสตรบัณฑิต สาขาวิชาคณิตศาสตร์ (4 ปี),Bachelor of Education Program in Mathematics,มหาวิทยาลัยราชภัฏกาญจนบุรี,ปริญญาตรี,17200
25491391105015,หลักสูตรครุศาสตรบัณฑิต สาขาวิชาสังคมศึกษา  (4 ปี),Bachelor of Education Program in Social Studies,มหาวิทยาลัยราชภัฏกาญจนบุรี,ปริญญาตรี,17200
25610141100026,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชานวัตกรรมบริการดิจิทัล,Bachelor of Arts Program in Digital Service Innovation,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,ปริญญาตรี,115809
25380141100626,หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาเทคโนโลยีสารสนเทศ,Master of Science Program in Information Technology,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,ปริญญาโท,80636
25501711110478,หลักสูตรครุศาสตรบัณฑิต สาขาวิชาสังคมศึกษา ( 4 ปี),Bachelor of Education Program in Social Studies,มหาวิทยาลัยราชภัฏอุบลราชธานี,ปริญญาตรี,31778
25511711108047,หลักสูตรครุศาสตรบัณฑิต สาขาวิชาการประถมศึกษา(4 ปี),Bachelor of Education Program in Elementary Education,มหาวิทยาลัยราชภัฏอุบลราชธานี,ปริญญาตรี,31778
25501711110478,หลักสูตรครุศาสตรบัณฑิต สาขาวิชาสังคมศึกษา ( 4 ปี),Bachelor of Education Program in Social Studies,มหาวิทยาลัยราชภัฏอุบลราชธานี,ปริญญาตรี,31778
25491561110289,หลักสูตรครุศาสตรบัณฑิต สาขาวิชาพลศึกษา (4ปี),Bachelor of Education Program in Physical Education,มหาวิทยาลัยราชภัฏมหาสารคาม,ปริญญาตรี,19300
25481691101349,หลักสูตรครุศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ทั่วไปและฟิสิกส์ (4 ปี),Bachelor of  Education Program in General Science and Physics,มหาวิทยาลัยราชภัฏอุดรธานี,ปริญญาตรี,14800
25501711108263,หลักสูตรครุศาสตรบัณฑิต สาขาวิชาคอมพิวเตอร์ศึกษา( 4 ปี),Bachelor of Education Program in Computer Education,มหาวิทยาลัยราชภัฏอุบลราชธานี,ปริญญาตรี,29587
25430101101742,หลักสูตรปรัชญาดุษฎีบัณฑิต สาขาวิชาชีวเวชศาสตร์,Doctor of Philosophy Program in Biomedical Sciences,มหาวิทยาลัยสงขลานครินทร์,ปริญญาเอก,1105725
25570101102737,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชารังสีเทคนิค,Bachelor of Science Program in Radiological Technology,มหาวิทยาลัยสงขลานครินทร์,ปริญญาตรี,114108
25520101100943,หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมชีวการแพทย์,Master of Science Program in Biomedical Engineering,มหาวิทยาลัยสงขลานครินทร์,ปริญญาโท,445275
25520101100932,หลักสูตรปรัชญาดุษฎีบัณฑิต สาขาวิชาวิศวกรรมชีวการแพทย์,Doctor of Philosophy Program in Biomedical Engineering,มหาวิทยาลัยสงขลานครินทร์,ปริญญาเอก,505576
25540101104782,หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาระบาดวิทยา (หลักสูตรนานาชาติ),Master of  Science Program in Epidemiology (International Program),มหาวิทยาลัยสงขลานครินทร์,ปริญญาโท,85000
25520101100932,หลักสูตรปรัชญาดุษฎีบัณฑิต สาขาวิชาวิศวกรรมชีวการแพทย์,Doctor of Philosophy Program in Biomedical Engineering,มหาวิทยาลัยสงขลานครินทร์,ปริญญาเอก,505576
25520101100943,หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมชีวการแพทย์,Master of Science Program in Biomedical Engineering,มหาวิทยาลัยสงขลานครินทร์,ปริญญาโท,445275
25490101103346,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชากายภาพบำบัด,Bachelor of Science Program in Physical Therapy,มหาวิทยาลัยสงขลานครินทร์,ปริญญาตรี,311779
25520101108536,หลักสูตรประกาศนียบัตรบัณฑิตชั้นสูง สาขาวิชาวิทยาศาสตร์การแพทย์คลินิก,Higher Graduate Diploma Program in Clinical Sciences,มหาวิทยาลัยสงขลานครินทร์,ประกาศนียบัตรบัณฑิตชั้นสูง,13117
25470101103704,หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาอาชีวเวชศาสตร์,Master of Science Program in Occupational Medicine,มหาวิทยาลัยสงขลานครินทร์,ปริญญาโท,240704
25502261102447,หลักสูตรบัญชีบัณฑิต สาขาวิชาการบัญชี,Bachelor of Accountancy  Program in Accounting,มหาวิทยาลัยราชพฤกษ์,ปริญญาตรี,57400
25502261102447,หลักสูตรบัญชีบัณฑิต สาขาวิชาการบัญชี,Bachelor of Accountancy  Program in Accounting,มหาวิทยาลัยราชพฤกษ์,ปริญญาตรี,57400
25500101103775,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคนิคการแพทย์,Bachelor of Science Program in Medical Technology,มหาวิทยาลัยสงขลานครินทร์,ปริญญาตรี,147648
25360731100282,หลักสูตรวิทยาศาสตรบัณฑิต  สาขาวิชาเทคนิคการแพทย์,Bachelor of Science Program in Medical Technology,มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ,ปริญญาตรี,37984
